date,hour,energy_kWh
01-06-2012,1,1.011
01-06-2012,2,0.451
01-06-2012,3,0.505
01-06-2012,4,0.441
01-06-2012,5,0.468
01-06-2012,6,0.451
01-06-2012,7,0.464
01-06-2012,8,0.897
01-06-2012,9,1.066
01-06-2012,10,0.946
01-06-2012,11,0.465
01-06-2012,12,0.792
01-06-2012,13,0.468
01-06-2012,14,0.674
01-06-2012,15,0.503
01-06-2012,16,0.556
01-06-2012,17,0.925
01-06-2012,18,0.713
01-06-2012,19,0.597
01-06-2012,20,0.559
01-06-2012,21,0.752
01-06-2012,22,1.584
01-06-2012,23,4.188
02-06-2012,0,0.613
02-06-2012,1,0.442
02-06-2012,2,0.496
02-06-2012,3,0.484
02-06-2012,4,0.447
02-06-2012,5,0.46
02-06-2012,6,0.5
02-06-2012,7,0.696
02-06-2012,8,0.627
02-06-2012,9,0.961
02-06-2012,10,0.982
02-06-2012,11,0.84
02-06-2012,12,1.159
02-06-2012,13,2.213
02-06-2012,14,0.457
02-06-2012,15,0.479
02-06-2012,16,0.462
02-06-2012,17,0.473
02-06-2012,18,2.104
02-06-2012,19,1.536
02-06-2012,20,1.152
02-06-2012,21,0.935
02-06-2012,22,0.871
02-06-2012,23,0.942
03-06-2012,0,1.133
03-06-2012,1,1.428
03-06-2012,2,0.435
03-06-2012,3,0.504
03-06-2012,4,0.466
03-06-2012,5,0.449
03-06-2012,6,0.452
03-06-2012,7,0.477
03-06-2012,8,0.452
03-06-2012,9,0.627
03-06-2012,10,1.494
03-06-2012,11,0.937
03-06-2012,12,1.575
03-06-2012,13,1.123
03-06-2012,14,0.529
03-06-2012,15,0.63
03-06-2012,16,0.618
03-06-2012,17,1.965
03-06-2012,18,1.191
03-06-2012,19,1.22
03-06-2012,20,1.248
03-06-2012,21,1.274
03-06-2012,22,1.298
03-06-2012,23,1.319
04-06-2012,0,1.337
04-06-2012,1,1.351
04-06-2012,2,1.536
04-06-2012,3,1.54
04-06-2012,4,1.537
04-06-2012,5,1.527
04-06-2012,6,1.509
04-06-2012,7,1.482
04-06-2012,8,1.446
04-06-2012,9,1.399
04-06-2012,10,1.199
04-06-2012,11,1.29
04-06-2012,12,0.947
04-06-2012,13,0.626
04-06-2012,14,0.827
04-06-2012,15,0.766
04-06-2012,16,0.871
04-06-2012,17,0.761
04-06-2012,18,0.667
04-06-2012,19,0.624
04-06-2012,20,0.598
04-06-2012,21,0.586
04-06-2012,22,0.586
04-06-2012,23,0.598
05-06-2012,0,0.618
05-06-2012,1,0.644
05-06-2012,2,0.472
05-06-2012,3,0.457
05-06-2012,4,0.469
05-06-2012,5,0.974
05-06-2012,6,0.447
05-06-2012,7,1.265
05-06-2012,8,0.947
05-06-2012,9,0.634
05-06-2012,10,1.029
05-06-2012,11,0.606
05-06-2012,12,0.723
05-06-2012,13,0.627
05-06-2012,14,2.467
05-06-2012,15,0.918
05-06-2012,16,1.768
05-06-2012,17,2.221
05-06-2012,18,0.994
05-06-2012,19,1.063
05-06-2012,20,1.124
05-06-2012,21,1.177
05-06-2012,22,1.222
05-06-2012,23,1.261
06-06-2012,0,1.292
06-06-2012,1,1.316
06-06-2012,2,0.922
06-06-2012,3,0.93
06-06-2012,4,0.934
06-06-2012,5,0.934
06-06-2012,6,0.931
06-06-2012,7,0.924
06-06-2012,8,0.914
06-06-2012,9,0.9
06-06-2012,10,0.884
06-06-2012,11,0.865
06-06-2012,12,0.844
06-06-2012,13,0.82
06-06-2012,14,0.795
06-06-2012,15,0.767
06-06-2012,16,0.738
06-06-2012,17,0.707
06-06-2012,18,0.841
06-06-2012,19,0.942
06-06-2012,20,2.544
06-06-2012,21,3.186
06-06-2012,22,2.273
06-06-2012,23,1.515
07-06-2012,0,1.225
07-06-2012,1,0.475
07-06-2012,2,1.619
07-06-2012,3,1.492
07-06-2012,4,1.376
07-06-2012,5,1.273
07-06-2012,6,1.186
07-06-2012,7,1.117
07-06-2012,8,1.07
07-06-2012,9,1.046
07-06-2012,10,1.132
07-06-2012,11,0.628
07-06-2012,12,0.618
07-06-2012,13,0.968
07-06-2012,14,0.848
07-06-2012,15,0.8
07-06-2012,16,1.113
07-06-2012,17,1.059
07-06-2012,18,1.449
07-06-2012,19,1.425
07-06-2012,20,1.386
07-06-2012,21,1.336
07-06-2012,22,1.281
07-06-2012,23,1.227
08-06-2012,0,1.179
08-06-2012,1,1.143
08-06-2012,2,0.98
08-06-2012,3,1.122
08-06-2012,4,0.922
08-06-2012,5,0.883
08-06-2012,6,0.896
08-06-2012,7,1.004
08-06-2012,8,0.861
08-06-2012,9,1.151
08-06-2012,10,0.454
08-06-2012,11,0.496
08-06-2012,12,0.537
08-06-2012,13,0.574
08-06-2012,14,0.606
08-06-2012,15,0.632
08-06-2012,16,0.649
08-06-2012,17,0.655
08-06-2012,18,2.289
08-06-2012,19,0.9
08-06-2012,20,3.231
08-06-2012,21,1.782
08-06-2012,22,1.857
08-06-2012,23,1.972
09-06-2012,0,0.98
09-06-2012,1,0.62
09-06-2012,2,0.927
09-06-2012,3,0.853
09-06-2012,4,0.788
09-06-2012,5,0.732
09-06-2012,6,0.685
09-06-2012,7,0.647
09-06-2012,8,0.62
09-06-2012,9,0.604
09-06-2012,10,0.929
09-06-2012,11,1.301
09-06-2012,12,0.711
09-06-2012,13,0.962
09-06-2012,14,0.718
09-06-2012,15,0.598
09-06-2012,16,0.44
09-06-2012,17,0.517
09-06-2012,18,0.831
09-06-2012,19,2.657
09-06-2012,20,2.593
09-06-2012,21,1.201
09-06-2012,22,0.733
09-06-2012,23,0.637
10-06-2012,0,0.448
10-06-2012,1,0.431
10-06-2012,2,0.507
10-06-2012,3,0.82
10-06-2012,4,0.873
10-06-2012,5,0.894
10-06-2012,6,0.497
10-06-2012,7,0.837
10-06-2012,8,0.884
10-06-2012,9,0.994
10-06-2012,10,1.222
10-06-2012,11,0.768
10-06-2012,12,0.95
10-06-2012,13,0.907
10-06-2012,14,0.609
10-06-2012,15,0.68
10-06-2012,16,0.471
10-06-2012,17,0.471
10-06-2012,18,0.455
10-06-2012,19,0.438
10-06-2012,20,0.479
10-06-2012,21,0.565
10-06-2012,22,0.442
10-06-2012,23,0.761
11-06-2012,0,0.62
11-06-2012,1,0.459
11-06-2012,2,0.456
11-06-2012,3,0.543
11-06-2012,4,0.741
11-06-2012,5,0.908
11-06-2012,6,0.855
11-06-2012,7,0.907
11-06-2012,8,0.433
11-06-2012,9,1.037
11-06-2012,10,0.704
11-06-2012,11,0.677
11-06-2012,12,0.584
11-06-2012,13,0.731
11-06-2012,14,0.786
11-06-2012,15,0.439
11-06-2012,16,0.585
11-06-2012,17,0.627
11-06-2012,18,0.817
11-06-2012,19,1.796
11-06-2012,20,1.074
11-06-2012,21,0.729
11-06-2012,22,0.738
11-06-2012,23,0.45
12-06-2012,0,0.489
12-06-2012,1,0.456
12-06-2012,2,0.876
12-06-2012,3,0.846
12-06-2012,4,0.815
12-06-2012,5,0.786
12-06-2012,6,0.758
12-06-2012,7,0.732
12-06-2012,8,0.708
12-06-2012,9,0.689
12-06-2012,10,0.424
12-06-2012,11,0.459
12-06-2012,12,0.464
12-06-2012,13,0.437
12-06-2012,14,0.434
12-06-2012,15,0.466
12-06-2012,16,0.607
12-06-2012,17,0.925
12-06-2012,18,0.699
12-06-2012,19,0.714
12-06-2012,20,0.731
12-06-2012,21,0.749
12-06-2012,22,0.768
12-06-2012,23,0.786
13-06-2012,0,0.805
13-06-2012,1,0.823
13-06-2012,2,0.622
13-06-2012,3,0.633
13-06-2012,4,0.643
13-06-2012,5,0.652
13-06-2012,6,0.658
13-06-2012,7,0.662
13-06-2012,8,0.664
13-06-2012,9,0.663
13-06-2012,10,0.586
13-06-2012,11,0.721
13-06-2012,12,0.43
13-06-2012,13,0.847
13-06-2012,14,0.419
13-06-2012,15,0.439
13-06-2012,16,0.622
13-06-2012,17,0.802
13-06-2012,18,0.889
13-06-2012,19,0.731
13-06-2012,20,0.665
13-06-2012,21,0.734
13-06-2012,22,0.665
13-06-2012,23,0.848
14-06-2012,0,0.554
14-06-2012,1,0.861
14-06-2012,2,0.891
14-06-2012,3,0.797
14-06-2012,4,0.567
14-06-2012,5,0.896
14-06-2012,6,0.923
14-06-2012,7,1.234
14-06-2012,8,0.867
14-06-2012,9,0.859
14-06-2012,10,0.55
14-06-2012,11,0.726
14-06-2012,12,0.858
14-06-2012,13,0.458
14-06-2012,14,0.801
14-06-2012,15,0.428
14-06-2012,16,1.213
14-06-2012,17,0.635
14-06-2012,18,0.424
14-06-2012,19,0.436
14-06-2012,20,0.448
14-06-2012,21,0.46
14-06-2012,22,0.471
14-06-2012,23,0.481
15-06-2012,0,0.489
15-06-2012,1,0.494
15-06-2012,2,0.914
15-06-2012,3,0.897
15-06-2012,4,0.979
15-06-2012,5,0.965
15-06-2012,6,0.95
15-06-2012,7,1.278
15-06-2012,8,0.895
15-06-2012,9,0.478
15-06-2012,10,0.983
15-06-2012,11,0.933
15-06-2012,12,0.881
15-06-2012,13,0.829
15-06-2012,14,0.775
15-06-2012,15,0.723
15-06-2012,16,0.672
15-06-2012,17,0.624
15-06-2012,18,0.579
15-06-2012,19,0.539
15-06-2012,20,0.503
15-06-2012,21,0.474
15-06-2012,22,0.452
15-06-2012,23,0.438
16-06-2012,0,0.433
16-06-2012,1,0.437
16-06-2012,2,0.437
16-06-2012,3,0.456
16-06-2012,4,0.448
16-06-2012,5,0.431
16-06-2012,6,0.459
16-06-2012,7,0.439
16-06-2012,8,0.43
16-06-2012,9,0.455
16-06-2012,10,0.561
16-06-2012,11,0.498
16-06-2012,12,1.296
16-06-2012,13,0.691
16-06-2012,14,0.668
16-06-2012,15,1.184
16-06-2012,16,0.614
16-06-2012,17,0.47
16-06-2012,18,0.469
16-06-2012,19,0.459
16-06-2012,20,0.83
16-06-2012,21,0.491
16-06-2012,22,0.454
16-06-2012,23,0.847
17-06-2012,0,0.461
17-06-2012,1,0.642
17-06-2012,2,0.776
17-06-2012,3,0.495
17-06-2012,4,0.826
17-06-2012,5,0.891
17-06-2012,6,0.49
17-06-2012,7,0.955
17-06-2012,8,0.417
17-06-2012,9,0.883
17-06-2012,10,0.941
17-06-2012,11,0.959
17-06-2012,12,0.976
17-06-2012,13,0.993
17-06-2012,14,1.008
17-06-2012,15,1.021
17-06-2012,16,1.033
17-06-2012,17,1.043
17-06-2012,18,1.051
17-06-2012,19,1.056
17-06-2012,20,1.059
17-06-2012,21,1.058
